# Alien Soldier ROM binary data segments (binclude addresses)
# Format: name,start,end,subdir
# Generated from alien_soldier_j.lst

# === Compressed tiles (LZSS) (artcomp/) ===
tiles_0ED4B4,0xED4B4,0xED7A4,artcomp
tiles_0F276E,0xF276E,0xF2816,artcomp
tiles_0F2816,0xF2816,0xF2826,artcomp
tiles_0FEB6E,0xFEB6E,0x1001D6,artcomp
tiles_1001D6,0x1001D6,0x100DA2,artcomp
tiles_100DA2,0x100DA2,0x1018F0,artcomp
tiles_1018F0,0x1018F0,0x10213C,artcomp
tiles_10213C,0x10213C,0x102AE0,artcomp
tiles_102AE0,0x102AE0,0x103124,artcomp
tiles_103124,0x103124,0x103A26,artcomp
tiles_103A26,0x103A26,0x104310,artcomp
tiles_104310,0x104310,0x104784,artcomp
tiles_104784,0x104784,0x104B22,artcomp
tiles_104B22,0x104B22,0x105196,artcomp
tiles_105196,0x105196,0x1067C2,artcomp
tiles_1067C2,0x1067C2,0x1081AA,artcomp
tiles_1081AA,0x1081AA,0x109546,artcomp
tiles_109546,0x109546,0x10B9FE,artcomp
tiles_10B9FE,0x10B9FE,0x10DA6C,artcomp
tiles_10DA6C,0x10DA6C,0x10F51C,artcomp
tiles_10F51C,0x10F51C,0x10F840,artcomp
tiles_10F840,0x10F840,0x112288,artcomp
tiles_112288,0x112288,0x113934,artcomp
tiles_113934,0x113934,0x114DF8,artcomp
tiles_114DF8,0x114DF8,0x1163AE,artcomp
tiles_1163AE,0x1163AE,0x116C9C,artcomp
tiles_116C9C,0x116C9C,0x1195BA,artcomp
tiles_1195BA,0x1195BA,0x1198D2,artcomp
tiles_1198E4,0x1198E4,0x11A61A,artcomp
tiles_11A8FC,0x11A8FC,0x11B542,artcomp
tiles_11B542,0x11B542,0x11D002,artcomp
tiles_11D002,0x11D002,0x11E5E0,artcomp
tiles_11E5E0,0x11E5E0,0x11F310,artcomp
tiles_11F310,0x11F310,0x120E1C,artcomp
tiles_120E1C,0x120E1C,0x120FF8,artcomp
tiles_120FF8,0x120FF8,0x121932,artcomp
tiles_121932,0x121932,0x1233B4,artcomp
tiles_1233B4,0x1233B4,0x12453E,artcomp
tiles_12453E,0x12453E,0x124CCE,artcomp
tiles_124CCE,0x124CCE,0x125902,artcomp
tiles_125902,0x125902,0x12772E,artcomp
tiles_12772E,0x12772E,0x12AB8C,artcomp
tiles_12AB8C,0x12AB8C,0x12D012,artcomp
tiles_12D012,0x12D012,0x12E96C,artcomp
tiles_12E96C,0x12E96C,0x130B4E,artcomp
tiles_130B4E,0x130B4E,0x132E9A,artcomp
tiles_132E9A,0x132E9A,0x1338F2,artcomp
tiles_1338F2,0x1338F2,0x134F02,artcomp
tiles_134F02,0x134F02,0x1355D6,artcomp
tiles_1355D6,0x1355D6,0x136512,artcomp
tiles_136512,0x136512,0x13963E,artcomp
tiles_13963E,0x13963E,0x13A92A,artcomp
tiles_13A92A,0x13A92A,0x13C166,artcomp
tiles_13C166,0x13C166,0x13F4B0,artcomp
tiles_14AE08,0x14AE08,0x14B91C,artcomp
tiles_14BB82,0x14BB82,0x14D064,artcomp
tiles_14D272,0x14D272,0x14F2B6,artcomp
tiles_14F542,0x14F542,0x14FD6A,artcomp
tiles_14FF06,0x14FF06,0x150D1C,artcomp
tiles_150EC8,0x150EC8,0x151CDE,artcomp
tiles_151F30,0x151F30,0x152D60,artcomp
tiles_152FC4,0x152FC4,0x15389A,artcomp
tiles_153B34,0x153B34,0x1543E0,artcomp
tiles_1545E4,0x1545E4,0x1557D6,artcomp
tiles_1559BE,0x1559BE,0x157036,artcomp
tiles_1571FE,0x1571FE,0x158674,artcomp
tiles_158854,0x158854,0x159440,artcomp
tiles_15960E,0x15960E,0x15B086,artcomp
tiles_15B2B6,0x15B2B6,0x15C020,artcomp
tiles_15C24E,0x15C24E,0x15D00A,artcomp
tiles_15D13E,0x15D13E,0x15E960,artcomp
tiles_15EB98,0x15EB98,0x15FF52,artcomp
tiles_160124,0x160124,0x16114A,artcomp
tiles_161336,0x161336,0x163A32,artcomp
tiles_163E1E,0x163E1E,0x16494A,artcomp
tiles_164ADA,0x164ADA,0x164E24,artcomp
tiles_164F02,0x164F02,0x16537C,artcomp
tiles_180F84,0x180F84,0x18140E,artcomp
