Frames, Scene
20-400, Sega screen
420-540, Title screen
560-840, Options
860-940, Title screen
960-1900, Weapon select screen
1920-3260, Stage 1
3280-7780, Jetsripper boss
7800-9460, Stage 2
9480-13540, Antroid boss
13560-14060, Stage 3
14080-16080, Rolling mini-boss (Stage 3)
16100-21000, Shellshogun boss
21020-23260, Stage 4
23280-26140, Sniper Honeyviper boss
26160-26360, Stage 4 to 5 transition
26380-27660, Stage 5
27680-35500, Madam Barbar boss
35520-37460, Stage 6
37480-41940, Joker boss
41960-43240, Stage 7
43260-49980, ST-210-Terobuster boss
50000-50500, Stage 7 to 8 transition
50520-50900, Train start (Stage 8)
50920-52200, Train end (Stage 8)
52220-57960, Flying-Neo boss
57980-58700, Flies (Stage 9)
58720-60920, Caterpillar ship above train (Stage 9)
60940-61300, Xi-Tiger start
61320-62120, Xi-Tiger cutscene
62140-65680, Xi-Tiger boss fight
65700-66000, Stage 9 to 10 transition
66020-67880, Stage 10
67900-71500, Deep Strider boss
71520-74100, Stage 11
74120-79000, Gusthead boss
79020-81300, Stage 12
81320-81600, Ship start (Stage 12)
81620-83580, Ship battle (Stage 12)
83600-87240, Sharpsteel boss
87260-87560, Ship desctruction
87580-87800, Teleport after ship desctruction
87820-89580, Snake (Stage 13)
89600-93120, Bugmax boss
93140-93500, Stage 13 to 14 transition
93520-94440, Stage 14
94460-97580, Victor boss
97600-100080, Stage 15
100100-106980, Sunset Sting boss
107000-109500, Viblack mini-boss (Stage 16)
109520-115040, Back Stringer boss
115060-115880, Epsilon1 intro (Stage 17)
115900-126900, Epsilon1 boss
126920-127300, Stage 17 to 18 transition
127320-129100, Planet cutscene
129120-132900, Stage 18
132920-136940, Destroyer-MK2 boss
136960-138580, Stage 19
138600-144160, Jampan boss
144180-144620, 7 forces intro (Stage 20)
144640-149700, Valkirie force
149720-155140, Medusa force
155160-158180, Sylpheed force
158200-162240, Artemis force
162260-166540, Sirene force
166560-167840, 7 forces win cutscene
167860-170620, Asteroids (Stage 21)
170640-174580, Destroyer Prototype boss
174600-176680, Stage 22
176700-181380, Shield Viper boss
181400-187140, Wolfgunblood Garopa boss
187160-187780, Stage 24
187800-192080, Missiray boss
192100-192780, Stage 25
192800-206460, Z-Leo boss
206480-206600, Ending teleport
